Species,AM.AD.1,AM.AD.2,AM.F10.T1,AM.F10.T2,DA.AD.1,DA.AD.1T,DA.AD.2,DA.AD.3,DA.AD.3T,DA.AD.4,ES.AD.1,ES.AD.2,ES.AD.3,ES.AD.4,FR.AD.1,FR.AD.2,FR.AD.3,FR.AD.4,FR.AD.5,FR.AD.6,FR.AD.7,FR.AD.8,IT.AD.1,IT.AD.2,IT.AD.3,IT.AD.4,IT.AD.5,IT.AD.6,JP.AD.1,JP.AD.2,JP.AD.3,JP.AD.4,JP.AD.5,JP.AD.6,JP.AD.7,JP.AD.8,JP.AD.9,JP.IN.1,JP.IN.2,JP.IN.3,JP.IN.4,MH0001,MH0002,MH0003,MH0004,MH0005,MH0006,MH0007,MH0008,MH0009,MH0010,MH0011,MH0012,MH0013,MH0014,MH0015,MH0016,MH0017,MH0018,MH0019,MH0020,MH0021,MH0022,MH0023,MH0024,MH0025,MH0026,MH0027,MH0028,MH0030,MH0031,MH0032,MH0033,MH0034,MH0035,MH0036,MH0037,MH0038,MH0039,MH0040,MH0041,MH0042,MH0043,MH0044,MH0045,MH0046,MH0047,MH0048,MH0049,MH0050,MH0051,MH0052,MH0053,MH0054,MH0055,MH0056,MH0057,MH0058,MH0059,MH0060,MH0061,MH0062,MH0063,MH0064,MH0065,MH0066,MH0067,MH0068,MH0069,MH0070,MH0071,MH0072,MH0073,MH0074,MH0075,MH0076,MH0077,MH0078,MH0079,MH0080,MH0081,MH0082,MH0083,MH0084,MH0085,MH0086,TS1_V2,TS10_V2,TS100_V2,TS101.2_V2,TS103_V2,TS104_V2,TS105_V2,TS106_V2,TS107_V2,TS109_V2,TS11_V2,TS110_V2,TS111_V2,TS115_V2,TS116_V2,TS117_V2,TS118_V2,TS119_V2,TS12_V2,TS120_V2,TS124_V2,TS125_V2,TS126_V2,TS127_V2,TS128_V2,TS129_V2,TS13_V2,TS130_V2,TS131_V2,TS132_V2,TS133_V2,TS134_V2,TS135_V2,TS136_V2,TS137_V2,TS138_V2,TS139_V2,TS14_V2,TS140_V2,TS141_V2,TS142_V2,TS143_V2,TS144_V2,TS145_V2,TS146_V2,TS147_V2,TS148_V2,TS149_V2,TS15_V2,TS150_V2,TS151_V2,TS152_V2,TS153_V2,TS154.2_V2,TS155_V2,TS156_V2,TS16_V2,TS160_V2,TS161_V2,TS162_V2,TS163_V2,TS164_V2,TS165_V2,TS166_V2,TS167_V2,TS168_V2,TS169_V2,TS17_V2,TS170_V2,TS178_V2,TS179_V2,TS180_V2,TS181_V2,TS182_V2,TS183_V2,TS184_V2,TS185_V2,TS186_V2,TS19_V2,TS190_V2,TS191_V2,TS192_V2,TS193_V2,TS194_V2,TS195_V2,TS2_V2,TS20_V2,TS21_V2,TS22_V2,TS23_V2,TS25_V2,TS26_V2,TS27_V2,TS28_V2,TS29_V2,TS3_V2,TS30_V2,TS31_V2,TS32_V2,TS33_V2,TS34_V2,TS35_V2,TS37_V2,TS38_V2,TS39_V2,TS4_V2,TS43_V2,TS44_V2,TS49_V2,TS5_V2,TS50_V2,TS51_V2,TS55_V2,TS56_V2,TS57_V2,TS6_V2,TS61_V2,TS62_V2,TS63_V2,TS64_V2,TS65_V2,TS66_V2,TS67_V2,TS68_V2,TS69_V2,TS7_V2,TS70_V2,TS71_V2,TS72_V2,TS73_V2,TS74_V2,TS75_V2,TS76_V2,TS77_V2,TS78_V2,TS8_V2,TS82_V2,TS83_V2,TS84_V2,TS85_V2,TS86_V2,TS87_V2,TS88_V2,TS89_V2,TS9_V2,TS90_V2,TS91_V2,TS92_V2,TS94_V2,TS95_V2,TS96_V2,TS97_V2,TS98_V2,TS99.2_V2
Bacteria,0,0,0,0,0,0,1.328e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03e-5,1.641e-5,1.901e-5,9.126e-5,5.358e-5,3.914e-5,8.113e-5,3.915e-5,2.799e-5,4.813e-5,3.741e-5,2.627e-5,1.3341e-4,2.052e-5,7.719e-5,2.366e-5,7.576e-5,4.345e-5,8.051e-5,1.864e-5,5.172e-5,1.7933e-4,6.541e-5,3.142e-5,3.601e-5,2.263e-5,6.08e-5,4.638e-5,5.128e-5,4.5e-5,2.157e-5,3.086e-5,1.696e-5,3.788e-5,4.242e-5,3.741e-5,9.336e-5,3.313e-5,3.456e-5,1.464e-5,5.463e-5,4.095e-5,1.469e-5,2.148e-5,2.189e-5,0.00137687,6.087e-5,7.52e-6,3.908e-5,3.325e-5,1.116e-5,3.708e-5,3.849e-5,3.278e-5,4.185e-5,2.573e-5,3.277e-5,2.881e-5,3.873e-5,2.045e-5,2.089e-5,2.733e-5,1.71e-5,4.225e-5,3.462e-5,3.716e-5,1.539e-5,2.782e-5,2.595e-5,3.379e-5,1.83e-5,1.129e-5,2.85e-5,3.312e-5,2.465e-5,3.064e-5,5.2e-6,3.319e-5,3.293e-5,3.705e-5,2.855e-5,2.256e-5,1.808e-5,1.838e-5,2.898e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prosthecochloris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.015e-5,0,0,0,0,0,0,0,0,0,0,2.018e-5,3.82e-6,5.2e-6,1.869e-5,2.018e-5,1.283e-5,1.483e-5,9.73e-6,9.95e-6,6.52e-6,9.87e-6,1.257e-5,2.057e-5,5.7e-6,2.019e-5,6.4e-6,2.571e-5,1.446e-5,2.925e-5,5.75e-6,4.9100000000000004e-06,3.71e-5,2.093e-5,6.88e-6,6.1e-6,8.2e-6,1.439e-5,5.79e-6,1.196e-5,8.01e-6,7.81e-6,7.28e-6,3.88e-6,7.77e-6,1.403e-5,1.093e-5,1.104e-5,8.96e-6,5.42e-6,3.9e-6,1.06e-5,7.73e-6,5.43e-6,6.2e-6,1.082e-5,6.3e-6,1.125e-5,3.9e-6,1.217e-5,6.97e-6,3.13e-6,1.004e-5,9.53e-6,1.136e-5,8.35e-6,7.98e-6,6.59e-6,7.22e-6,8.91e-6,3.68e-6,9.07e-6,6.15e-6,4.31e-6,7.07e-6,8.87e-6,3.4e-6,7.67e-6,5.76e-6,5.15e-6,1.379e-5,4.49e-6,2.67e-6,9.05e-6,8.3e-6,4.26e-6,6e-6,2.05e-6,6.92e-6,6.03e-6,6.79e-6,5.51e-6,8.9e-6,4.76e-6,4.35e-6,5.1e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chloroflexus,0,0,0,0,0,8.1e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.205e-5,1.256e-5,1.943e-5,6.013e-5,4.825e-5,3.309e-5,6.543e-5,3.091e-5,2.506e-5,2.335e-5,2.329e-5,3.551e-5,6.303e-5,2.119e-5,6.109e-5,1.172e-5,6.105e-5,1.941e-5,5.277e-5,1.364e-5,1.665e-5,9.779e-5,5.527e-5,1.901e-5,1.894e-5,2.039e-5,5.376e-5,1.397e-5,3.096e-5,2.62e-5,1.37e-5,2.404e-5,8.29e-6,2.64e-5,4.149e-5,4.207e-5,3.974e-5,3.416e-5,2.225e-5,1.242e-5,3.221e-5,2.675e-5,1.425e-5,1.396e-5,2.906e-5,1.994e-5,4.363e-5,9.79e-6,3.528e-5,3.033e-5,1.157e-5,4.138e-5,5.063e-5,2.586e-5,3.495e-5,1.859e-5,2.95e-5,2.217e-5,3.5e-5,1.114e-5,2.383e-5,1.92e-5,1.178e-5,2.335e-5,4.301e-5,6.85e-6,1.482e-5,1.524e-5,1.099e-5,2.861e-5,9.98e-6,8.49e-6,2.836e-5,2.354e-5,1.829e-5,1.782e-5,4.53e-6,2.319e-5,1.739e-5,2.011e-5,1.585e-5,3.132e-5,8.82e-6,1.465e-5,2.054e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dehalococcoides,0,2.6835e-4,9.59e-6,0,0,0,2.03e-5,0,0,8.728e-5,4.637e-5,0,0,6.032e-5,0,0,4.266e-5,5.681e-5,3.315e-5,3.614e-5,0,3.769e-5,0.00113611,0,3.959e-5,0,0,1.1117e-4,0,0,1.1227e-4,0,0,0,0,0,0,0,0,0,0,5.881e-5,9.36e-5,5.934e-5,9.446e-5,6.34e-5,5.799e-5,1.2048e-4,5.874e-5,5.025e-5,4.654e-5,6.414e-5,6.573e-5,1.8047e-4,3.644e-5,1.0554e-4,3.227e-5,1.0958e-4,3.266e-5,9.441e-5,4.228e-5,5.01e-5,2.9381e-4,1.3753e-4,3.744e-5,4.739e-5,1.1573e-4,1.044e-4,6.179e-5,9.901e-5,5.861e-5,3.965e-5,5.154e-5,1.888e-5,5.27e-5,7.61e-5,5.935e-5,7.116e-5,5.389e-5,6.47e-5,3.07e-5,8.424e-5,4.613e-5,3.243e-5,4.157e-5,3.716e-5,2.931e-5,6.598e-5,1.508e-5,7.652e-5,1.3569e-4,3.835e-5,5.91e-5,7.279e-5,4.737e-5,7.816e-5,4.634e-5,5.954e-5,8.54e-5,6.568e-5,3.555e-5,1.5663e-4,4.053e-5,3.206e-5,4.617e-5,3.859e-5,1.957e-5,2.633e-5,8.624e-5,2.777e-5,1.0535e-4,1.678e-5,1.808e-5,6.16e-5,4.933e-5,5.198e-5,7.876e-5,1.14e-5,8.099e-5,5.763e-5,5.47e-5,6.641e-5,5.036e-5,2.944e-5,3.422e-5,5.9e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermus,0,0,0,4.24e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.605e-5,3.491e-5,3.695e-5,7.437e-5,4.107e-5,3.335e-5,5.778e-5,3.558e-5,2.73e-5,2.483e-5,3.136e-5,4.297e-5,8.79e-5,2.006e-5,1.0885e-4,1.434e-5,6.2e-5,1.953e-5,5.534e-5,1.599e-5,1.831e-5,8.936e-5,4.959e-5,2.404e-5,3.627e-5,2.349e-5,5.947e-5,1.874e-5,3.01e-5,3.214e-5,1.738e-5,2.494e-5,5.83e-6,2.079e-5,3.515e-5,5.074e-5,3.25e-5,4.196e-5,3.06e-5,2.274e-5,3.11e-5,3.252e-5,1.638e-5,1.022e-5,3.704e-5,4.712e-5,3.998e-5,1.615e-5,4.385e-5,4.603e-5,2.45e-5,3.881e-5,5.164e-5,2.613e-5,4.887e-5,1.976e-5,3.009e-5,2.758e-5,4.536e-5,1.77e-5,7.383e-5,2.417e-5,1.912e-5,2.93e-5,7.281e-5,1.078e-5,2.814e-5,2.195e-5,1.061e-5,5.709e-5,5.76e-6,1.493e-5,4.25e-5,2.814e-5,2.403e-5,2.335e-5,9.9e-6,2.454e-5,2.098e-5,2.749e-5,2.039e-5,3.729e-5,8.54e-6,1.721e-5,2.818e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Listeria,0,0,0,0,0,0,0,0,2.43e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.023e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.534e-5,0,0,7.867e-5,2.591e-5,3.943e-5,1.2837e-4,9.042e-5,6.03e-5,1.5592e-4,1.2526e-4,5.18e-5,9.119e-5,5.005e-5,4.164e-5,3.3774e-4,3.634e-5,1.4485e-4,4.203e-5,1.2988e-4,6.662e-5,1.4325e-4,3.142e-5,4.494e-5,2.3801e-4,1.3374e-4,5.416e-5,4.119e-5,7.836e-5,1.2974e-4,7.433e-5,1.2452e-4,8.601e-5,4.224e-5,6.347e-5,2.631e-5,8.668e-5,7.583e-5,4.672e-5,1.2768e-4,6.272e-5,5.656e-5,2.384e-5,8.868e-5,5.462e-5,4.111e-5,5e-5,4.275e-5,1.803e-5,9.765e-5,1.356e-5,5.087e-5,4.106e-5,2.339e-5,7.098e-5,8.285e-5,5.551e-5,6.505e-5,2.201e-5,6.857e-5,6.249e-5,6.922e-5,1.956e-5,2.732e-5,4.832e-5,4.222e-5,1.1452e-4,4.627e-5,3.978e-5,2.006e-5,5.98e-5,6.44e-5,5.548e-5,3.64e-5,3.137e-5,2.952e-5,5.574e-5,5.377e-5,7.415e-5,1.616e-5,6.993e-5,5.931e-5,8.231e-5,6.382e-5,3.914e-5,2.488e-5,3.827e-5,5.29e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fusobacterium,0,1.508e-5,0,0,0,3.181e-5,8.52e-6,0,5.8e-6,0,0,0,0,2.181e-5,0,0,3.662e-5,4.468e-5,0,1.551e-5,0,0,0,0,0,4.409e-5,0,0,0,4.689e-5,0,5.281e-5,5.002e-5,1.1665e-4,0.00623069,2.512e-5,0,0,0,5.202e-5,0,2.4873e-4,9.372e-5,4.991e-5,4.046e-4,3.2522e-4,1.8247e-4,4.9903e-4,5.2727e-4,1.7639e-4,3.3204e-4,2.2292e-4,1.1433e-4,0.00151853,9.755e-5,4.4473e-4,1.2334e-4,4.372e-4,2.8319e-4,5.2556e-4,8.763e-5,2.2385e-4,7.4992e-4,5.4464e-4,1.645e-4,2.1078e-4,2.0858e-4,3.6049e-4,3.7758e-4,4.197e-4,3.3237e-4,1.8443e-4,2.4438e-4,1.2203e-4,3.1979e-4,1.6368e-4,9.975e-5,3.6365e-4,1.6528e-4,1.9726e-4,1.2232e-4,2.3872e-4,1.8072e-4,1.2484e-4,1.5352e-4,1.1019e-4,7.3430000000000007e-05,2.9011e-4,3.72e-5,1.3976e-4,1.25e-4,1.0387e-4,1.7037e-4,1.4975e-4,1.8183e-4,1.7724e-4,6.366e-5,1.7274e-4,1.8643e-4,1.0553e-4,1.419e-4,0.00155081,1.5276e-4,1.9879e-4,3.6407e-4,1.4623e-4,1.4722e-4,1.0773e-4,2.1148e-4,2.2738e-4,1.195e-4,1.305e-4,3.0853e-4,8.491e-5,2.3785e-4,2.6912e-4,2.4861e-4,8.311e-5,2.6562e-4,2.4558e-4,2.4856e-4,2.8059e-4,1.4425e-4,6.541e-5,8.15e-5,1.4853e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4115e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00100126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3278e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.781e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1315e-4,0,0,0,0
Streptobacillus,0,0,0,4.71e-6,0,0,0,5.138e-5,5.987e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5e-5,0,0,0,2.841e-5,0,0,0,0,0,0,0,0,0,0,0,0,3.472e-5,1.452e-5,3.777e-5,3.948e-5,4.021e-5,2.219e-5,4.037e-5,5.642e-5,2.778e-5,5.464e-5,3.424e-5,3.765e-5,2.8468e-4,1.374e-5,5.246e-5,1.617e-5,6.213e-5,3.228e-5,6.379e-5,6.14e-6,5.61e-5,1.0104e-4,7.431e-5,2.63e-5,7.539e-5,2.9e-5,3.685e-5,6.708e-5,8.192e-5,5.576e-5,2.511e-5,4.477e-5,2.116e-5,5.349e-5,1.99e-5,9.36e-6,5.605e-5,1.885e-5,3.879e-5,2.14e-5,3.299e-5,2.764e-5,2.015e-5,2.786e-5,1.145e-5,9.08e-6,4.168e-5,1.177e-5,4.598e-5,1.955e-5,2.19e-5,2.808e-5,2.336e-5,2.522e-5,2.265e-5,4.84e-6,2.389e-5,2.927e-5,2.171e-5,6.07e-6,4.815e-5,2.441e-5,4.884e-5,6.282e-5,2.592e-5,1.826e-5,7.839e-5,3.519e-5,3.926e-5,1.901e-5,6.81e-5,1.187e-5,7.85e-6,4.997e-5,3.631e-5,1.411e-4,1.162e-5,5.239e-5,4.159e-5,5.127e-5,6.384e-5,1.953e-5,8.1e-6,9.12e-6,2.108e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brevibacillus,0,0,0,0,0,6.7e-7,2.37e-6,0,2.46e-6,0,0,0,0,0,0,0,0,8.84e-6,0,0,0,0,0,9.56e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.257e-5,8.04e-6,8.62e-6,2.134e-5,1.747e-5,1.492e-5,3.172e-5,1.678e-5,1.218e-5,1.59e-5,1.038e-5,1.148e-5,3.138e-5,9.15e-6,2.853e-5,8.45e-6,2.545e-5,1.026e-5,2.319e-5,5.87e-6,8.91e-6,3.793e-5,2.515e-5,8.33e-6,8.83e-6,1.224e-5,2.419e-5,8.92e-6,1.774e-5,1.171e-5,6.6e-6,1.086e-5,4.23e-6,1.366e-5,1.578e-5,1.442e-5,2.509e-5,1.358e-5,1.211e-5,4.66e-6,1.286e-5,1.111e-5,7.11e-6,9.54e-6,1.087e-5,5.17e-6,1.768e-5,2.44e-6,1.25e-5,9.51e-6,5.9e-6,1.853e-5,1.537e-5,1.066e-5,1.351e-5,4.99e-6,1.418e-5,1.021e-5,1.413e-5,5.72e-6,1.02e-5,8.72e-6,5.35e-6,1.743e-5,1.186e-5,4.78e-6,6.52e-6,9.83e-6,8.97e-6,9.84e-6,6.93e-6,8.87e-6,8.25e-6,1.049e-5,9.2e-6,1.013e-5,3.27e-6,1.228e-5,9.43e-6,1.253e-5,8.87e-6,1.139e-5,5.12e-6,7.26e-6,1.17e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidobacteria_Gp1_Gp1,0,0,0,0,0,0,0,0,1.61e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.561e-5,1.483e-5,1.989e-5,5.59e-5,4.185e-5,3.339e-5,5.376e-5,2.451e-5,2.415e-5,1.859e-5,2.531e-5,3.536e-5,6.875e-5,2.047e-5,5.824e-5,1.001e-5,5.636e-5,1.945e-5,4.392e-5,1.182e-5,1.867e-5,9.133e-5,4.695e-5,2.107e-5,1.896e-5,2.059e-5,4.834e-5,1.505e-5,2.655e-5,2.373e-5,1.296e-5,2.203e-5,6.58e-6,2.1e-5,3.439e-5,3.912e-5,3.522e-5,3.096e-5,2.485e-5,1.44e-5,3.106e-5,2.625e-5,1.239e-5,1.115e-5,2.405e-5,3.334e-5,4.116e-5,9.15e-6,3.479e-5,3.138e-5,1.277e-5,3.246e-5,5.232e-5,2.421e-5,3.122e-5,1.666e-5,2.6e-5,2.286e-5,4.009e-5,1.477e-5,2.944e-5,1.755e-5,1.06e-5,2.411e-5,4.422e-5,4.5e-6,1.486e-5,1.581e-5,1.016e-5,3.01e-5,6.73e-6,7.73e-6,3.095e-5,2.186e-5,1.549e-5,1.894e-5,4.24e-6,2.279e-5,1.548e-5,1.953e-5,1.467e-5,3.245e-5,8.72e-6,1.114e-5,1.905e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
